State,Unemployment_Rates_for_States
Hawaii,2.3
South Dakota,2.3
North Dakota,2.6
Vermont,2.6
Alabama,2.7
Nebraska,3.1
Maine,3.2
New Hampshire,3.2
Indiana,3.3
Iowa,3.4
Wisconsin,3.4
Georgia,3.6
Montana,3.6
Tennessee,3.6
Wyoming,3.6
Idaho,3.7
Mississippi,3.7
Virginia,3.7
North Carolina,3.8
Utah,3.8
Colorado,3.9
Kansas,3.9
Missouri,3.9
Oklahoma,3.9
Kentucky,4.2
Ohio,4.2
Pennsylvania,4.2
Louisiana,4.3
Maryland,4.3
Texas,4.3
Arkansas,4.4
Minnesota,4.5
Arizona,4.6
Florida,4.6
New York,4.6
Rhode Island,4.6
Alaska,4.7
Connecticut,4.7
New Mexico,4.7
West Virginia,4.7
Massachusetts,4.8
Illinois,5
Michigan,5
South Carolina,5
New Jersey,5.1
Washington,5.1
Oregon,5.2
Nevada,5.3
California,5.4
Delaware,5.4
District of Columbia,6.5
